time,ip,ip_an,cat,cmt,by,user,fp
1743631200,111.68.8.50,0,bot,Mozilla5.0 Windows NT 10.0 WOW64 rv48.0 Gecko20100101 Firefox48.0,127.0.0.0,7478d4,
1743631204,78.153.140.149,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome116.0.5845.140 Safari5,127.0.0.0,7478d4,
1743631205,3.139.85.206,0,bot,Mozilla5.0 X11 Linux aarch64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome129.0.6668.100 Safari5,127.0.0.0,7478d4,
1743631210,111.68.8.50,0,bot,Mozilla5.0 Windows NT 10.0 WOW64 rv48.0 Gecko20100101 Firefox48.0,127.0.0.0,7478d4,
1743631212,84.247.132.142,0,bot,Mozilla5.0 iPhone CPU iPhone OS 18_1_1 like Mac OS X AppleWebKit605.1.15 KHTML like Gecko Version18.,127.0.0.0,7478d4,
1743631221,82.145.215.206,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1743631280,194.38.23.16,0,bot,ALittle Client,127.0.0.0,7478d4,
1743631288,157.52.118.120,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1743631288,157.52.118.104,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1743631301,52.17.117.56,0,bot,Apache-HttpClient5.4.1 Java21.0.6,127.0.0.0,7478d4,
1743631304,3.133.79.80,0,bot,Mozilla5.0 X11 Linux aarch64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome129.0.6668.100 Safari5,127.0.0.0,7478d4,
1743631305,47.86.32.212,0,bot,python-requests2.28.145102,127.0.0.0,7478d4,
1743631308,46.127.204.81,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743631313,18.218.140.12,0,bot,Mozilla5.0 X11 Linux aarch64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome129.0.6668.100 Safari5,127.0.0.0,7478d4,
1743631332,46.127.204.81,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743631335,111.68.1.178,0,bot,Mozilla5.0 Windows NT 10.0 WOW64 rv48.0 Gecko20100101 Firefox48.0,127.0.0.0,7478d4,
1743631337,104.156.83.88,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1743631341,194.5.53.214,0,bot,Python3.11 aiohttp3.11.11,127.0.0.0,7478d4,
1743631341,194.5.53.210,0,bot,Python3.11 aiohttp3.11.11,127.0.0.0,7478d4,
1743631343,45.137.126.37,0,bot,curl8.13.0-rc2,127.0.0.0,7478d4,
1743631344,46.127.204.81,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743631351,18.191.148.200,0,bot,Mozilla5.0 X11 Linux aarch64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome129.0.6668.100 Safari5,127.0.0.0,7478d4,
1743631352,157.52.80.133,0,bot,python-requests2.30.0,127.0.0.0,7478d4,
