time,ip,ip_an,cat,cmt,by,user,fp
1745100009,162.158.134.228,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome135.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100016,156.228.83.226,0,bot,Mozilla5.0 SV1,127.0.0.0,7478d4,
1745100016,156.228.83.0,1,attack,SQLi,127.0.0.0,7478d4,
1745100020,2.58.56.137,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome104.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100030,172.68.243.117,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome135.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100033,162.158.238.75,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome135.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100036,104.156.83.87,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100045,104.193.226.44,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100046,40.77.190.198,0,bot,Mozilla5.0 Windows NT 6.3 Win64 x64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome87.0.4280.141 S,127.0.0.0,7478d4,
1745100047,157.52.68.73,0,bot,python-requests2.30.0,127.0.0.0,7478d4,
1745100048,89.217.171.231,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100050,154.86.112.0,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100050,154.193.152.0,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100051,95.164.159.165,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100052,45.139.64.119,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100052,162.158.134.229,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome135.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100054,156.242.47.26,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100065,213.209.143.94,0,bot,Mozilla5.0 Kubuntu Linux x86_64 rv123.0 Gecko20100101 Firefox123.0,127.0.0.0,7478d4,
1745100080,5.78.68.156,0,bot,Curl,127.0.0.0,7478d4,
1745100081,146.19.215.13,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome90.0.4430.85 Safari537,127.0.0.0,7478d4,
1745100082,185.20.226.30,0,bot,Mozlila5.0 Linux Android 7.0 SM-G892A BulidNRD90M wv AppleWebKit537.36 KHTML like Gecko Version4.0 C,127.0.0.0,7478d4,
1745100089,52.17.117.56,0,bot,Apache-HttpClient5.4.1 Java21.0.6,127.0.0.0,7478d4,
1745100093,170.205.30.128,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100100,5.78.68.156,0,bot,Curl,127.0.0.0,7478d4,
1745100105,204.217.148.14,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100106,185.201.128.145,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100113,66.249.73.10,0,bot,Mozilla5.0 Linux Android 6.0.1 Nexus 5X BuildMMB29P AppleWebKit537.36 KHTML like Gecko Chrome135.0.7,127.0.0.0,7478d4,
1745100114,134.17.14.122,0,bot,Mozilla4.0 compatible MSIE 6.0 Windows NT 5.1 SV1,127.0.0.0,7478d4,
1745100120,146.19.215.56,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100126,104.156.87.149,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100137,46.148.206.226,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome130.0.0.0 Safari537.36,127.0.0.0,7478d4,
1745100137,46.148.206.0,1,attack,XSS,127.0.0.0,7478d4,
1745100145,115.190.14.0,1,attack,SQLi,127.0.0.0,7478d4,
1745100157,154.3.62.39,0,bot,python-urllib32.2.3,127.0.0.0,7478d4,
1745100162,78.153.140.93,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome116.0.5845.140 Safari5,127.0.0.0,7478d4,
1745100163,104.156.83.63,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100165,89.217.171.231,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100175,89.217.171.231,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100180,167.82.233.63,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100186,149.102.230.118,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1745100186,149.102.230.119,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1745100186,149.102.230.117,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1745100186,194.163.143.168,0,bot,,127.0.0.0,7478d4,
1745100197,156.228.116.24,0,bot,AnyConnect-compatible OpenConnect GUI VPN Agent v9.12,127.0.0.0,7478d4,
1745100197,156.228.113.59,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100197,40.77.167.0,1,attack,XSS,127.0.0.0,7478d4,
1745100197,156.228.116.0,1,attack,SQLi,127.0.0.0,7478d4,
1745100199,93.55.192.40,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100203,78.153.140.222,0,bot,Mozilla5.0 Macintosh Intel Mac OS X 10_9 AppleWebKit537.35.1 KHTML like Gecko Version6.1 Safari537.3,127.0.0.0,7478d4,
1745100210,146.19.215.56,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100213,52.17.117.56,0,bot,Apache-HttpClient5.4.1 Java21.0.6,127.0.0.0,7478d4,
1745100215,89.169.15.118,0,bot,Mozilla5.0 Macintosh Intel Mac OS X 10.11 rv47.0 Gecko20100101 Firefox47.0,127.0.0.0,7478d4,
1745100215,89.169.15.0,1,attack,XSS,127.0.0.0,7478d4,
1745100247,78.153.140.149,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome116.0.5845.140 Safari5,127.0.0.0,7478d4,
1745100251,52.17.117.56,0,bot,Apache-HttpClient5.4.1 Java21.0.6,127.0.0.0,7478d4,
1745100253,185.128.227.186,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100259,170.205.30.128,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100261,156.228.115.253,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100270,165.231.13.98,0,bot,Mozilla5.0 Ubuntu Linux i686 rv127.0 Gecko20100101 Firefox127.0,127.0.0.0,7478d4,
1745100270,165.231.13.0,1,attack,XSS,127.0.0.0,7478d4,
1745100272,93.55.192.40,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100281,170.205.30.127,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100289,185.128.227.184,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100295,154.213.166.79,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1745100303,185.226.206.72,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100304,42.112.152.157,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100305,154.193.152.0,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100306,170.205.30.128,0,bot,Mozilla5.0 Windows U Windows NT 6.1 en-US rv1.9.1.5 Gecko20091102 Firefox3.5.5 .NET CLR 3.5.30729,127.0.0.0,7478d4,
1745100307,185.126.75.209,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100307,46.203.212.14,0,bot,curl7.64.0,127.0.0.0,7478d4,
1745100325,104.156.87.111,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100331,104.156.83.88,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1745100335,74.208.56.106,0,bot,,127.0.0.0,7478d4,
