time,ip,ip_an,cat,cmt,by,user,fp
1743976802,102.100.111.178,0,bot,curl7.64.0,127.0.0.0,7478d4,
1743976806,45.43.183.61,0,bot,curl7.64.0202496,127.0.0.0,7478d4,
1743976806,40.77.190.145,0,bot,Mozilla5.0 Windows NT 6.3 Win64 x64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome87.0.4280.141 S,127.0.0.0,7478d4,
1743976807,198.23.214.198,0,bot,curl7.64.0,127.0.0.0,7478d4,
1743976807,170.247.222.194,0,bot,curl7.64.0,127.0.0.0,7478d4,
1743976811,45.148.10.35,0,bot,l9explore1.2.2,127.0.0.0,7478d4,
1743976824,213.188.234.53,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743976827,5.255.99.5,0,bot,curl8.8.0,127.0.0.0,7478d4,
1743976830,164.92.166.20,0,bot,Mozilla5.0 compatible Odin httpsdocs.getodin.com,127.0.0.0,7478d4,
1743976830,207.154.224.21,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1743976830,164.92.166.0,1,attack,SQLi,127.0.0.0,7478d4,
1743976830,207.154.224.0,1,attack,SQLi,127.0.0.0,7478d4,
1743976843,170.81.199.80,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome115.0.0.0 Safari537.36,127.0.0.0,7478d4,
1743976847,213.188.234.53,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743976853,213.189.205.206,0,bot,python-requests2.32.3197695,127.0.0.0,7478d4,
1743976854,143.244.57.82,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome78.0.3904.108 Safari53,127.0.0.0,7478d4,
1743976861,213.188.234.53,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743976869,52.14.35.155,0,bot,Mozilla5.0 X11 Linux aarch64 AppleWebKit537.36 KHTML like Gecko HeadlessChrome129.0.6668.100 Safari5,127.0.0.0,7478d4,
1743976870,104.156.83.59,0,bot,python-requests2.31.0,127.0.0.0,7478d4,
1743976878,18.130.12.89,0,bot,Mozilla5.0 Linux Android 7.0 SM-G892A BuildNRD90M wv AppleWebKit537.36 KHTML like Gecko Version4.0 C,127.0.0.0,7478d4,
1743976885,47.86.16.37,0,bot,python-requests2.28.145102,127.0.0.0,7478d4,
1743976889,51.210.99.175,0,bot,python-requests2.27.1,127.0.0.0,7478d4,
1743976892,78.153.140.149,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome116.0.5845.140 Safari5,127.0.0.0,7478d4,
1743976905,143.244.57.86,0,bot,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWebKit537.36 KHTML like Gecko Chrome78.0.3904.108 Safari53,127.0.0.0,7478d4,
1743976910,213.189.205.206,0,bot,python-requests2.32.3197695,127.0.0.0,7478d4,
1743976914,61.130.144.178,0,bot,AppleWebKit534.46 KHTMLlike Gecko Version5.1 Mobile Safari10600.6.3136190JINHUA,127.0.0.0,7478d4,
1743976917,5.78.68.156,0,bot,Curl,127.0.0.0,7478d4,
1743976920,74.80.208.153,0,bot,Mozilla5.0 compatible ImagesiftBot +imagesift.com,127.0.0.0,7478d4,
1743976923,213.188.234.53,0,bot,python-requests2.32.3,127.0.0.0,7478d4,
1743976932,207.180.228.6,0,bot,GuzzleHttp7,127.0.0.0,7478d4,
1743976940,82.145.215.206,0,bot,Go-http-client1.1,127.0.0.0,7478d4,
1743976945,140.248.85.21,0,bot,python-requests2.30.0,127.0.0.0,7478d4,
