Key,Value
0,2a01:4f8:2200:4200::
1,2a01:4f8:241:4400::
2,2a01:4f8:231:3b00::
3,94.130.242.0
4,188.40.131.0
5,2a01:4f8:c010:9700::
6,136.243.119.0
7,2a01:4f9:6b:4c00::
8,46.151.200.0
9,2001:4bc9:1fb0:3200::
10,46.125.249.0
11,49.12.81.0
12,2a01:4f8:fff0::
