Key,Value
0,http
1,Fuzz Faster U Fool v2.1.0-dev
2,PAN GlobalProtect
3,Mozila5.0
4,More Firefox 3.5.1 user agents strings --
5,BlackBerry7100i4.1.0 ProfileMIDP-2.0 Configurati
6,Jigsaw2.2.5 W3C_CSS_Validator_JFouffa2.0
7,Barracuda Sentinel EE
8,Microsoft.OWS.Api-24.10.29.5-.NETCoreApp_Version_v
9,wp_is_mobile
10,CSSCheck1.2.2
11,Chrome
12,SAMSUNG-SGH-A867A867UCHJ3 SHPVPPR5 NetFront35 
13,portalmmm2.0 N410ic20TB
14,More Internet Explorer 7.0 user agents strings --
15,be aware this a vulnerable scanner from me if you 
16,MOT-L7v08.B7.5DR MIB2.2.1 ProfileMIDP-2.0 Confi
17,SonyEricssonW580iR6BC BrowserNetFront3.3 Profil
18,ELinks 0.4pre5 Linux 2.6.10-ac7 i686 80x33
19,LG-LX550 AU-MIC-LX5502.0 MMP2.0 ProfileMIDP-2.0
20,ELinks0.9.3 textmode Linux 2.6.9-kanotix-8 i686
21,NokiaN70-15.0609.2.0.1 Series602.8 ProfileMIDP-
22,SEC-SGHE9001.0 NetFront3.2 ProfileMIDP-2.0 Conf
23,Adobe Application Manager 2.0
24,ELinks0.12pre5-4
25,Peach1.01 Ubuntu 8.04 LTS U en
26,SearchExpress
27,SonyEricssonT650iR7AA BrowserNetFront3.3 Profil
28,Links 2.1pre15 FreeBSD 5.3-RELEASE i386 196x84
29,nook browser1.0
30,Lynx2.8.5rel.1 libwww-FM2.14 SSL-MM1.4.1 GNUTLS
31,Form abuse
32, 7B  7D echo  echo  bincat etcpasswd
33,POLARIS6.01 BREW 3.1.5 U en-us LG LX265 POL
34,firefox
35,More Firefox 3.0.13 user agents strings --
36,More Internet Explorer 6.0 user agents strings --
37,SonyEricssonK310ivR4DA BrowserNetFront3.3 Profi
38,iTunes4.2 Macintosh U PPC Mac OS X 10.2
39,node-urllib2.16.0 Node.js4.5.0 Linux 2.6 x64
40,Fuzz Faster U Fool v1.1.0
41,Microsoft.OWS.Api-24.11.1.3-.NETCoreApp_Version_v8
42,POLARIS6.01BREW 3.1.5Uen-usLGLX265POLARIS6
43,BlackBerry90004.6.0.167 ProfileMIDP-2.0 Configur
44,More Firefox 1.5.0.12 user agents strings --
45,Links 2.3pre1 Linux 2.6.38-8-generic x86_64 170
46,SonyEricssonT610R201 ProfileMIDP-1.0 Configurati
47,BlackBerry75204.0.0 ProfileMIDP-2.0 Configuratio
48,Apache2.4.34 Ubuntu OpenSSL1.1.1 internal dum
49,Microsoft.OWS.Api-24.11.1.4-.NETCoreApp_Version_v8
50,DoCoMo2.0 N905ic100TBW24H16 compatible Goog
51,DoCoMo2.0 SH901iCc100TBW24H12
52,Nokia61001.0 04.01 ProfileMIDP-1.0 Configurati
53,More Safari 2.0 user agents strings --
54,More Safari 2.0.2 user agents strings --
55,SEC-SGHX8201.0 NetFront3.2 ProfileMIDP-2.0 Conf
56,RokuDVP-4.1 024.01E01250A
57,iTunes9.0.2 Windows N
58,More Firefox 1.0.3 user agents strings --
59,EmailWolf 1.00
60,More Firefox 2.0.0.9 user agents strings --
61,xfa1
62,Hello-World
63,w3m0.5.1
64,LG-GC900V10a ObigoWAP2.0 ProfileMIDP-2.1 Config
65,More Firefox 2.0.0.10 user agents strings --
66,BlackBerry83004.2.2 ProfileMIDP-2.0 Configuratio
67,More Firefox 1.5.0.6 user agents strings --
68,Nokia66301.0 2.39.15 SymbianOS8.0 Series602.6
69,WebCopier v4.6
70,Microsoft.OWS.Api-24.11.5.2-.NETCoreApp_Version_v8
71,WhatsApp2.23.20.0
72,Microsoft Office Word16.78.1008 Mac OS12.7.6 D
73,NetSurf1.2 NetBSD amd64
74,More Firefox 2.0.0.20 user agents strings --
75,SeopultContentAnalyzer1.0
76,fw
77,Jetty12.0.10
78,SonyEricssonW850iR1ED BrowserNetFront3.3 Profil
79,Offline Explorer2.5
80,SAMSUNG-S8000S8000XXIF3 SHPVPPR5 Jasmine1.0 Ne
81,SonyEricssonS500iR6BC BrowserNetFront3.3 Profil
82,MSIE
83,osee2unifiedRelease1466 osee2unifiedReleaseVersio
84,wii libnup1.0
85,Nokia6230i2.0 03.80 ProfileMIDP-2.0 Configurat
86,Microsoft.OWS.Api-24.11.12.7-.NETCoreApp_Version_v
87,More Firefox 1.5.0.5 user agents strings --
88,ReactorNetty1.1.22
89,BlackBerry83204.2.2 ProfileMIDP-2.0 Configuratio
90,mukewang7.2.0 iPhone iOS 12.3.1 Scale2.00 we
91,More Safari 3.0.3 user agents strings --
92,Nokia62302.0 04.44 ProfileMIDP-2.0 Configurati
93,More Firefox 3.0 user agents strings --
94,More Firefox 3.5.2 user agents strings --
95,nvdorz
96,Vodafone1.0V802SESEJ001 BrowserSEMC-Browser4.
97,Microsoft.OWS.Api-24.11.12.10-.NETCoreApp_Version_
98,HTMLParser1.6
99,SonyEricssonK750iR1CA BrowserSEMC-Browser4.2 Pr
100,SonyEricssonK550iR1JD BrowserNetFront3.3 Profil
101,facebookexternalhit1.1
102,More Firefox 2.0 user agents strings --
103,SonyEricssonW995R1EA ProfileMIDP-2.1 Configurati
104,Links 2.1pre15 Linux 2.4.26 i686 158x61
105,SEC-SGHX2101.0 UP.Link6.3.1.13.0
106,Microsoft.OWS.Api-24.11.19.6-.NETCoreApp_Version_v
107,SonyEricssonW660iR6AD BrowserNetFront3.3 Profil
108,Microsoft.OWS.Api-24.11.19.7-.NETCoreApp_Version_v
109,More Firefox 3.6.3 user agents strings --
110,More Firefox 3.0.10 user agents strings --
111,Microsoft Office PowerPoint16.78.1008 Mac OS12.
112,SAMSUNG-SGH-E2501.0 ProfileMIDP-2.0 Configuratio
113,iTunes9.0.3 Macintosh U Intel Mac OS X 10_6_2
114,SonyEricssonK800iR1CB BrowserNetFront3.3 Profil
115,BlackBerry83304.3.0 ProfileMIDP-2.0 Configuratio
116,MOT-V1770.1.75 UP.Browser6.2.3.9.c.12 GUI MMP
117,ELinks 0.4.3 NetBSD 3.0.2PATCH sparc64 141x19
118,SonyEricssonK810iR1KG BrowserNetFront3.3 Profil
119,SonyEricssonZ800R1Y BrowserSEMC-Browser4.1 Prof
120,Microsoft URL Control - 6.00.8862
121,MOT-V9mm00.62 UP.Browser6.2.3.4.c.1.123 GUI MM
122,Nokia72501.0 3.14 ProfileMIDP-1.0 Configuratio
123,AnyConnect Windows 4.10.05111
124,More Internet Explorer 5.01 user agents strings --
125,More Firefox 1.0 user agents strings --
126,BlackBerry97005.0.0.351 ProfileMIDP-2.1 Configur
127,Fuzz Faster U Fool v1.4.1
128,Cloudflare
129,SonyEricssonK750iR1CASNXXXXXXXXXXXXXXX BrowserS
130,Microsoft.OWS.Api-24.11.27.1-.NETCoreApp_Version_v
131,Nokia32302.0 5.0614.0 SymbianOS7.0s Series602
132,NokiaN73-13.0649.0.0.1 Series603.0 ProfileMIDP2
133,Konqueror3.0-rc4 Konqueror3.0-rc4 i686 Linux
134,More Firefox 2.0.0.12 user agents strings --
135,P3P Validator
136,More Firefox 2.0.0.14 user agents strings --
137,UCWEB8.8 SymbianOS9.2 U en-US NokiaE63 Appl
138,Microsoft-WebDAV-MiniRedir6.0.6002
139,More Firefox 3.6.4 user agents strings --
140,SonyEricssonK610iR1CB BrowserNetFront3.3 Profil
141,Xenu Link Sleuth1.3.8
142,More Firefox 1.5.0.10 user agents strings --
143,Microsoft.OWS.Api-24.12.4.1-.NETCoreApp_Version_v8
144,Penterep Tools
145,ELB-HealthChecker2.0
146,Download Demon3.5.0.11
147,Web Downloader6.9
148,advertools-0.16.2
149,BlackBerry95304.7.0.167 ProfileMIDP-2.0 Configur
150,panscient.com
151,MobileSafari600.1.4 CFNetwork711.1.12 Darwin14.
152,www.ru
153,More Firefox 1.0.6 user agents strings --
154,WDG_Validator1.6.2
155,Nokia66301.0 2.3.129 SymbianOS8.0 Series602.6
156,W3C_Validator1.654
157,More Safari 3.1.1 user agents strings --
158,newspaper0.2.8
159,Acoon v4.10.1 www.acoon.de
160,More Firefox 2.0.0.1 user agents strings --
161,More Safari 3.0.4 user agents strings --
162,More Firefox 1.5.0.2 user agents strings --
163,Links0.9.1 Linux 2.4.24 i386
164,SonyEricssonT68R201A
165,More Safari 2.0.3 user agents strings --
