Key,Value
117,t13d130900_f57a46bbacb6_e7c285222651
118,t13d2510h2_b78ed14e2fd0_e7c285222651
119,t12d4313h1_c7886603b240_d4a7fbb9ab19
120,t13d250900_b78ed14e2fd0_e7c285222651
121,t13d1615h2_46e7e9700bed_45f260be83e2
122,t13d1514h2_8daaf6152771_4769d65a485e
123,t13d1515h2_8daaf6152771_de4a06bb82e3
124,t13d121100_a538d02d76d5_801c830e80cf
125,t12d640100_80b28c1d4496_d2e2adf7177b
126,t12d5905h1_a33745022dd6_185d58148c9c
127,t13d180900_85036bcba153_1f22a2ca17c4
128,t13d1517h2_8daaf6152771_b1ff8ab2d16f
129,t13d1812h1_85036bcba153_8d633dac7124
130,t12d400700_9479543b8654_0d10598d5536
131,t13d201100_2b729b4bf6f3_36bf25f296df
132,t12d6401h1_1597732b70be_d2e2adf7177b
133,t13d2013h2_2b729b4bf6f3_e24568c0d440
134,t13d191100_9dc949149365_be53661681a4
135,t13d191200_9dc949149365_3d9b77117d33
136,t13d1813h1_85036bcba153_85fd1a05dda1
137,t13d3112h2_e8f1e7e78f70_4b962faf6cc2
